time_s,value
54.36,895.398193359375
54.42,894.3955078125
54.48,899.408935546875
54.54,897.403564453125
54.6,902.4169921875
54.66,904.42236328125
54.72,903.419677734375
54.78,897.403564453125
54.84,896.40087890625
54.9,896.40087890625
54.96,895.398193359375
55.02,896.40087890625
55.08,897.403564453125
55.14,904.42236328125
55.2,901.414306640625
55.26,902.4169921875
55.32,898.40625
55.38,897.403564453125
55.44,894.3955078125
55.5,898.40625
55.56,899.408935546875
55.62,896.40087890625
55.68,898.40625
55.74,902.4169921875
55.8,902.4169921875
55.86,903.419677734375
55.92,902.4169921875
55.98,898.40625
56.04,895.398193359375
56.1,894.3955078125
56.16,899.408935546875
56.22,910.4384765625
56.28,919.462646484375
56.34,926.4814453125
56.4,930.4921875
56.46,939.516357421875
56.52,939.516357421875
56.58,940.51904296875
56.64,944.52978515625
56.7,944.52978515625
56.76,942.5244140625
56.82,940.51904296875
56.88,939.516357421875
56.94,945.532470703125
57,944.52978515625
57.06,943.527099609375
57.12,946.53515625
57.18,942.5244140625
57.24,943.527099609375
57.3,946.53515625
57.36,951.548583984375
57.42,951.548583984375
57.48,953.553955078125
57.54,951.548583984375
57.6,954.556640625
57.66,957.564697265625
57.72,953.553955078125
57.78,948.54052734375
57.84,952.55126953125
57.9,946.53515625
57.96,947.537841796875
58.02,945.532470703125
58.08,944.52978515625
58.14,944.52978515625
58.2,943.527099609375
58.26,947.537841796875
58.32,948.54052734375
58.38,944.52978515625
58.44,950.5458984375
58.5,950.5458984375
58.56,950.5458984375
58.62,950.5458984375
58.68,951.548583984375
58.74,951.548583984375
58.8,953.553955078125
58.86,953.553955078125
58.92,954.556640625
58.98,949.543212890625
59.04,949.543212890625
59.1,950.5458984375
59.16,961.575439453125
59.22,969.596923828125
59.28,970.599609375
59.34,975.613037109375
59.4,976.61572265625
59.46,980.62646484375
59.52,981.629150390625
59.58,983.634521484375
59.64,986.642578125
59.7,990.6533203125
59.76,992.65869140625
59.82,992.65869140625
59.88,990.6533203125
59.94,992.65869140625
60,995.666748046875
60.06,992.65869140625
60.12,997.672119140625
60.18,991.656005859375
60.24,991.656005859375
60.3,995.666748046875
60.36,993.661376953125
60.42,996.66943359375
60.48,993.661376953125
60.54,995.666748046875
60.6,993.661376953125
60.66,998.6748046875
60.72,993.661376953125
60.78,994.6640625
60.84,996.66943359375
60.9,997.672119140625
60.96,995.666748046875
61.02,992.65869140625
61.08,993.661376953125
61.14,994.6640625
61.2,997.672119140625
61.26,992.65869140625
61.32,994.6640625
61.38,997.672119140625
61.44,996.66943359375
61.5,994.6640625
61.56,993.661376953125
61.62,996.66943359375
61.68,997.672119140625
61.74,996.66943359375
61.8,994.6640625
61.86,996.66943359375
61.92,997.672119140625
61.98,992.65869140625
62.04,994.6640625
62.1,995.666748046875
62.16,997.672119140625
62.22,1008.70166015625
62.28,1018.728515625
62.34,1018.728515625
62.4,1025.74731445312
62.46,1026.75
62.52,1035.77416992188
62.58,1038.7822265625
62.64,1041.79028320312
62.7,1042.79296875
62.76,1041.79028320312
62.82,1043.79565429688
62.88,1050.814453125
62.94,1049.81176757812
63,1047.80639648438
63.06,1049.81176757812
63.12,1051.81713867188
63.18,1050.814453125
63.24,1048.80908203125
63.3,1048.80908203125
63.36,1045.80102539062
63.42,1047.80639648438
63.48,1048.80908203125
63.54,1045.80102539062
63.6,1048.80908203125
63.66,1045.80102539062
63.72,1042.79296875
63.78,1046.8037109375
63.84,1047.80639648438
63.9,1044.79833984375
63.96,1050.814453125
64.02,1050.814453125
64.08,1052.81982421875
64.14,1056.83056640625
64.2,1050.814453125
